filename,width,height,class,xmin,ymin,xmax,ymax
611.jpg,4160,2340,License Plate,427,1095,2094,1705
392.jpg,1024,768,License Plate,350,391,661,466
356.jpg,1024,768,License Plate,365,363,620,418
451.jpg,640,480,License Plate,203,275,402,322
340.jpg,640,480,License Plate,214,263,458,315
553.jpg,4160,2340,License Plate,1775,562,2699,1143
594.jpg,4160,2340,License Plate,804,1005,2799,1362
432.jpg,640,480,License Plate,232,315,421,350
375.jpg,1024,768,License Plate,368,355,651,411
202.jpg,640,480,License Plate,204,365,431,400
65.jpg,640,480,License Plate,214,230,412,276
324.jpg,640,480,License Plate,183,286,429,330
436.jpg,640,480,License Plate,280,328,397,375
521.jpg,4160,2340,License Plate,1685,819,2242,1124
368.jpg,1024,768,License Plate,388,386,638,440
596.jpg,434,304,License Plate,8,107,386,248
543.jpg,4160,2340,License Plate,1480,952,2575,1500
556.jpg,4160,2340,License Plate,1461,571,2756,1257
307.jpg,640,480,License Plate,210,303,448,353
498.jpg,640,480,License Plate,224,263,417,312
186.jpg,640,480,License Plate,224,376,422,413
625.jpeg,489,301,License Plate,110,228,249,265
251.jpg,640,480,License Plate,253,235,390,329
332.jpg,640,480,License Plate,222,297,459,341
454.jpg,640,480,License Plate,155,233,317,288
624.jpeg,511,288,License Plate,101,138,210,172
412.jpg,640,480,License Plate,158,314,307,352
196.jpg,640,480,License Plate,207,303,439,347
188.jpg,640,480,License Plate,212,401,429,448
85.jpg,640,480,License Plate,240,250,389,353
235.jpg,640,480,License Plate,217,295,446,335
49.jpg,640,480,License Plate,226,292,484,359
496.jpg,640,480,License Plate,201,225,383,344
321.jpg,640,480,License Plate,194,266,461,320
285.jpg,640,480,License Plate,208,245,451,302
600.jpg,4160,2340,License Plate,1556,1190,1904,1267
448.jpg,640,480,License Plate,230,387,426,442
169.jpg,640,480,License Plate,215,268,424,311
387.jpg,640,480,License Plate,211,275,379,313
538.jpg,4160,2340,License Plate,1770,771,2451,1262
278.jpg,640,480,License Plate,204,248,437,299
217.jpg,640,480,License Plate,199,287,423,333
501.jpg,640,480,License Plate,193,365,394,427
132.jpg,640,480,License Plate,260,392,377,417
259.jpg,640,480,License Plate,196,275,444,322
133.jpg,640,480,License Plate,42,284,173,325
265.jpg,640,480,License Plate,204,293,428,336
574.jpg,4160,2340,License Plate,1451,1129,2285,1671
204.jpg,640,480,License Plate,255,266,392,359
181.jpg,640,480,License Plate,217,338,441,376
126.jpg,640,480,License Plate,254,370,380,398
517.jpg,4160,2340,License Plate,1813,1057,2556,1490
224.jpg,640,480,License Plate,209,291,428,330
263.jpg,640,480,License Plate,207,313,435,353
494.jpg,640,480,License Plate,221,323,417,373
352.jpg,640,480,License Plate,199,261,454,323
144.jpg,640,480,License Plate,262,335,392,365
47.jpg,640,480,License Plate,199,270,430,320
580.jpg,4160,2340,License Plate,1747,748,2642,1529
456.jpg,640,480,License Plate,256,238,407,275
327.jpg,640,480,License Plate,265,371,381,395
151.jpg,640,480,License Plate,213,243,423,290
527.jpg,4160,2340,License Plate,1208,910,2623,1333
136.jpg,640,480,License Plate,209,405,332,434
341.jpg,640,480,License Plate,204,253,453,300
466.jpg,640,480,License Plate,213,258,448,303
269.jpg,640,480,License Plate,187,233,445,285
533.jpg,4160,2340,License Plate,1504,1124,2651,1771
115.jpg,640,480,License Plate,199,286,457,337
485.jpg,640,480,License Plate,175,303,287,370
463.jpg,640,480,License Plate,210,253,424,298
221.jpg,640,480,License Plate,200,310,440,355
93.jpg,640,480,License Plate,220,323,424,363
426.jpg,640,480,License Plate,216,360,373,413
87.jpg,640,480,License Plate,201,380,454,426
12.jpg,640,480,License Plate,199,335,395,376
305.jpg,640,480,License Plate,205,298,454,353
176.jpg,640,480,License Plate,190,275,428,328
427.jpg,640,480,License Plate,292,220,442,280
287.jpg,640,480,License Plate,199,275,447,327
480.jpg,640,480,License Plate,239,215,427,273
165.jpg,640,480,License Plate,204,299,429,344
190.jpg,640,480,License Plate,218,373,439,408
312.jpg,640,480,License Plate,201,405,437,455
325.jpg,640,480,License Plate,197,293,453,348
481.jpg,640,480,License Plate,228,262,429,299
233.jpg,640,480,License Plate,217,311,444,355
573.jpg,4160,2340,License Plate,1661,1095,2294,1467
158.jpg,640,480,License Plate,217,271,430,323
271.jpg,640,480,License Plate,199,285,437,330
373.jpg,1024,768,License Plate,347,391,647,450
563.jpg,4160,2340,License Plate,1718,1267,2575,1710
250.jpg,640,480,License Plate,212,254,434,301
28.jpg,640,480,License Plate,187,258,384,310
376.jpg,1600,1200,License Plate,575,644,958,731
261.jpg,640,480,License Plate,194,275,437,321
147.jpg,640,480,License Plate,259,369,392,402
135.jpg,640,480,License Plate,92,360,161,410
353.jpg,1024,768,License Plate,341,580,665,651
417.jpg,640,480,License Plate,209,288,368,368
633.jpeg,259,194,License Plate,87,81,184,107
579.jpg,4160,2340,License Plate,1337,1300,2489,1981
46.jpg,640,480,License Plate,197,355,401,400
56.jpg,640,480,License Plate,197,359,387,403
441.jpg,640,480,License Plate,236,284,404,319
607.jpg,4160,2340,License Plate,1323,762,2470,1386
369.jpg,1024,768,License Plate,274,319,586,417
304.jpg,640,480,License Plate,197,252,440,303
78.jpg,640,480,License Plate,212,274,478,323
371.jpg,1024,768,License Plate,369,378,655,440
131.jpg,640,480,License Plate,115,368,232,399
409.jpg,640,480,License Plate,240,338,371,368
516.jpg,4160,2340,License Plate,1642,1090,2423,1524
90.jpg,640,480,License Plate,144,331,312,371
608.jpg,4160,2340,License Plate,780,1181,2789,1686
232.jpg,640,480,License Plate,212,254,449,307
260.jpg,640,480,License Plate,134,360,328,405
361.jpg,1024,768,License Plate,310,409,669,478
53.jpg,640,480,License Plate,217,421,406,456
91.jpg,640,480,License Plate,274,398,452,434
459.jpg,640,480,License Plate,224,238,394,276
457.jpg,640,480,License Plate,215,228,421,277
234.jpg,640,480,License Plate,221,322,436,368
374.jpg,1024,768,License Plate,357,372,653,426
571.jpg,4160,2340,License Plate,1166,767,2080,1219
225.jpg,640,480,License Plate,219,302,442,344
254.jpg,640,480,License Plate,205,383,441,430
125.jpg,640,480,License Plate,204,251,453,310
140.jpg,640,480,License Plate,44,370,159,398
359.jpg,1024,768,License Plate,318,386,683,458
537.jpg,4160,2340,License Plate,1356,738,2213,1224
270.jpg,640,480,License Plate,209,328,459,370
286.jpg,640,480,License Plate,210,290,448,344
555.jpg,4160,2340,License Plate,1456,952,2180,1429
461.jpg,640,480,License Plate,197,292,389,340
89.jpg,640,480,License Plate,254,249,457,297
490.jpg,640,480,License Plate,302,200,447,316
54.jpg,640,480,License Plate,223,289,414,329
280.jpg,640,480,License Plate,203,294,434,348
27.jpg,640,480,License Plate,180,334,406,378
554.jpg,4160,2340,License Plate,1594,329,2780,1043
434.jpg,640,480,License Plate,224,306,414,343
112.jpg,640,480,License Plate,221,333,452,377
101.jpg,640,480,License Plate,184,245,457,307
211.jpg,640,480,License Plate,214,257,443,301
213.jpg,640,480,License Plate,214,278,455,333
394.jpg,640,480,License Plate,154,370,314,409
386.jpg,640,480,License Plate,119,296,287,335
66.jpg,640,480,License Plate,220,363,409,408
21.jpg,640,480,License Plate,202,308,428,344
509.jpg,640,480,License Plate,176,199,359,290
130.jpg,640,480,License Plate,267,333,381,357
121.jpg,640,480,License Plate,229,295,440,345
614.jpg,4160,2340,License Plate,870,1152,2494,1438
75.jpg,640,480,License Plate,198,233,430,285
523.jpg,4160,2340,License Plate,1789,1190,2218,1462
616.jpeg,250,166,License Plate,10,28,205,136
351.jpg,640,480,License Plate,205,290,442,339
618.jpeg,259,194,License Plate,71,24,217,130
26.jpg,640,480,License Plate,214,303,433,345
34.jpg,640,480,License Plate,231,353,349,430
354.jpg,1024,768,License Plate,347,438,688,517
577.jpg,4160,2340,License Plate,113,367,1708,1438
455.jpg,640,480,License Plate,232,255,359,285
557.jpg,4160,2340,License Plate,1866,567,2466,943
470.jpg,640,480,License Plate,232,217,416,301
3.jpg,640,480,License Plate,182,277,415,321
301.jpg,640,480,License Plate,250,254,392,352
313.jpg,640,480,License Plate,209,296,441,341
621.jpeg,259,194,License Plate,102,156,197,181
604.jpg,4160,2340,License Plate,1170,862,2766,1410
167.jpg,640,480,License Plate,209,282,443,323
268.jpg,640,480,License Plate,215,240,451,283
62.jpg,640,480,License Plate,199,289,409,337
506.jpg,640,480,License Plate,194,263,417,311
200.jpg,640,480,License Plate,214,268,447,323
223.jpg,640,480,License Plate,254,298,381,377
472.jpg,640,480,License Plate,166,237,383,312
385.jpg,640,480,License Plate,200,314,410,357
583.jpg,4160,2340,License Plate,1504,948,2127,1386
57.jpg,640,480,License Plate,198,245,399,295
605.jpg,4160,2340,License Plate,1323,795,2308,1043
546.jpg,4160,2340,License Plate,1642,871,2289,1219
103.jpg,640,480,License Plate,205,227,447,281
127.jpg,640,480,License Plate,265,371,378,397
40.jpg,640,480,License Plate,199,253,444,305
191.jpg,640,480,License Plate,217,308,446,355
155.jpg,640,480,License Plate,197,256,432,297
36.jpg,640,480,License Plate,211,355,417,403
589.jpg,4160,2340,License Plate,870,1029,2280,1267
323.jpg,640,480,License Plate,199,383,431,425
61.jpg,640,480,License Plate,188,268,412,317
597.jpg,373,365,License Plate,69,261,180,290
59.jpg,640,480,License Plate,168,278,378,323
337.jpg,640,480,License Plate,207,265,452,317
210.jpg,640,480,License Plate,208,380,430,418
483.jpg,640,480,License Plate,240,262,432,315
336.jpg,640,480,License Plate,199,266,442,319
245.jpg,640,480,License Plate,213,371,434,410
592.jpg,4160,2340,License Plate,994,1157,2304,1433
350.jpg,640,480,License Plate,192,264,449,320
243.jpg,640,480,License Plate,243,238,393,287
228.jpg,640,480,License Plate,204,266,424,312
275.jpg,640,480,License Plate,122,327,284,359
603.jpg,4160,2340,License Plate,1051,957,2813,1257
255.jpg,640,480,License Plate,233,275,468,324
237.jpg,640,480,License Plate,212,266,447,308
395.jpg,640,480,License Plate,224,233,397,278
60.jpg,640,480,License Plate,210,297,422,346
37.jpg,640,480,License Plate,219,380,424,425
74.jpg,640,480,License Plate,204,258,425,314
421.jpg,640,480,License Plate,218,280,423,313
578.jpg,4160,2340,License Plate,1527,1076,2685,1362
306.jpg,640,480,License Plate,202,253,440,307
311.jpg,640,480,License Plate,198,405,441,449
366.jpg,1024,768,License Plate,332,484,572,535
408.jpg,640,480,License Plate,233,230,403,266
407.jpg,640,480,License Plate,292,371,433,425
193.jpg,640,480,License Plate,223,226,433,275
338.jpg,640,480,License Plate,204,260,449,313
315.jpg,640,480,License Plate,192,237,462,299
180.jpg,640,480,License Plate,215,239,442,296
67.jpg,640,480,License Plate,163,288,249,353
58.jpg,640,480,License Plate,212,244,423,293
153.jpg,640,480,License Plate,219,285,434,330
499.jpg,640,480,License Plate,245,195,376,285
609.jpg,4160,2340,License Plate,1461,776,2342,1486
445.jpg,640,480,License Plate,181,260,360,326
174.jpg,640,480,License Plate,270,258,392,349
551.jpg,4160,2340,License Plate,1408,843,2675,1514
236.jpg,640,480,License Plate,222,256,444,303
123.jpg,640,480,License Plate,206,265,452,322
622.jpeg,453,325,License Plate,91,206,178,241
582.jpg,4160,2340,License Plate,989,833,2418,1143
388.jpg,640,480,License Plate,215,366,414,405
510.jpg,4160,2340,License Plate,1366,905,2656,1224
7.jpg,640,480,License Plate,222,279,422,323
435.jpg,640,480,License Plate,306,209,464,280
239.jpg,640,480,License Plate,200,280,439,324
157.jpg,640,480,License Plate,222,319,439,364
238.jpg,640,480,License Plate,285,343,401,419
267.jpg,640,480,License Plate,201,283,444,333
410.jpg,640,480,License Plate,147,329,259,367
562.jpg,4160,2340,License Plate,1894,1338,2532,1752
357.jpg,1024,768,License Plate,366,591,658,642
222.jpg,640,480,License Plate,206,305,442,353
505.jpg,640,480,License Plate,190,243,390,306
513.jpg,4160,2340,License Plate,1408,1167,2561,1371
106.jpg,640,480,License Plate,192,305,452,353
507.jpg,640,480,License Plate,247,170,457,278
164.jpg,640,480,License Plate,227,305,432,350
279.jpg,640,480,License Plate,211,390,427,426
424.jpg,640,480,License Plate,240,350,401,378
97.jpg,640,480,License Plate,217,357,420,406
495.jpg,640,480,License Plate,246,274,352,346
567.jpg,4160,2340,License Plate,1632,1014,2356,1448
317.jpg,640,480,License Plate,196,247,445,300
355.jpg,1024,768,License Plate,386,351,586,396
404.jpg,640,480,License Plate,219,293,379,349
154.jpg,640,480,License Plate,214,231,437,282
32.jpg,640,480,License Plate,209,304,429,342
63.jpg,640,480,License Plate,226,361,422,409
92.jpg,640,480,License Plate,234,300,464,344
31.jpg,640,480,License Plate,203,396,410,435
415.jpg,640,480,License Plate,234,266,428,302
602.jpg,4160,2340,License Plate,2408,1300,2651,1476
602.jpg,4160,2340,License Plate,1275,948,1380,1129
343.jpg,640,480,License Plate,191,258,427,308
4.jpg,640,480,License Plate,194,252,410,299
199.jpg,640,480,License Plate,207,364,426,404
22.jpg,640,480,License Plate,249,301,367,380
114.jpg,640,480,License Plate,200,224,462,285
76.jpg,640,480,License Plate,199,246,431,304
229.jpg,640,480,License Plate,198,282,437,330
364.jpg,1024,768,License Plate,319,351,661,427
561.jpg,4160,2340,License Plate,1889,1357,2542,1695
390.jpg,1024,768,License Plate,400,297,746,412
508.jpg,640,480,License Plate,276,199,455,318
515.jpg,4160,2340,License Plate,1851,995,2570,1367
203.jpg,640,480,License Plate,212,303,451,344
139.jpg,640,480,License Plate,78,379,195,408
560.jpg,4160,2340,License Plate,1647,757,2175,1090
362.jpg,1024,768,License Plate,396,399,677,460
462.jpg,640,480,License Plate,219,296,433,344
411.jpg,640,480,License Plate,223,270,414,315
290.jpg,640,480,License Plate,196,262,445,311
612.jpg,4160,2340,License Plate,904,886,2423,1424
333.jpg,640,480,License Plate,204,283,430,327
266.jpg,640,480,License Plate,199,298,449,345
568.jpg,4160,2340,License Plate,1666,1148,2613,1762
45.jpg,640,480,License Plate,241,259,439,314
88.jpg,640,480,License Plate,210,353,432,395
438.jpg,640,480,License Plate,174,343,323,379
423.jpg,640,480,License Plate,222,280,416,323
73.jpg,640,480,License Plate,214,329,402,370
55.jpg,640,480,License Plate,192,293,379,331
29.jpg,640,480,License Plate,214,283,430,331
429.jpg,640,480,License Plate,212,258,387,310
492.jpg,640,480,License Plate,155,323,271,373
170.jpg,640,480,License Plate,216,284,430,328
119.jpg,640,480,License Plate,257,261,459,310
469.jpg,640,480,License Plate,179,330,360,422
569.jpg,4160,2340,License Plate,1818,1238,2437,1690
262.jpg,640,480,License Plate,209,285,460,331
558.jpg,4160,2340,License Plate,1775,652,2480,1076
449.jpg,640,480,License Plate,210,351,341,406
80.jpg,640,480,License Plate,182,239,461,303
11.jpg,640,480,License Plate,182,330,397,373
134.jpg,640,480,License Plate,46,343,166,371
220.jpg,640,480,License Plate,208,283,446,329
460.jpg,640,480,License Plate,264,197,422,242
303.jpg,640,480,License Plate,207,258,463,313
420.jpg,640,480,License Plate,257,238,393,266
572.jpg,4160,2340,License Plate,1599,1110,2470,1614
284.jpg,640,480,License Plate,216,379,437,427
248.jpg,640,480,License Plate,248,231,463,280
276.jpg,640,480,License Plate,202,264,455,318
178.jpg,640,480,License Plate,210,382,436,425
104.jpg,640,480,License Plate,211,276,432,320
464.jpg,640,480,License Plate,189,210,408,260
79.jpg,640,480,License Plate,208,208,394,273
400.jpg,640,480,License Plate,234,276,387,335
628.jpeg,259,194,License Plate,57,123,139,147
465.jpg,640,480,License Plate,289,225,445,278
377.jpg,1600,1200,License Plate,562,892,1051,990
77.jpg,640,480,License Plate,200,247,448,304
244.jpg,640,480,License Plate,217,240,434,282
9.jpg,640,480,License Plate,248,301,357,371
64.jpg,640,480,License Plate,199,284,435,333
613.jpg,4160,2340,License Plate,1399,1052,2513,1248
24.jpg,640,480,License Plate,174,299,406,350
540.jpg,4160,2340,License Plate,1685,810,2718,1505
83.jpg,640,480,License Plate,194,303,457,362
5.jpg,640,480,License Plate,192,348,471,416
565.jpg,4160,2340,License Plate,1461,1010,2118,1410
631.jpeg,470,313,License Plate,171,182,259,231
380.jpg,1600,1200,License Plate,603,940,1037,1035
489.jpg,640,480,License Plate,204,305,457,350
242.jpg,640,480,License Plate,217,279,439,320
398.jpg,1024,768,License Plate,304,560,654,644
437.jpg,640,480,License Plate,176,395,278,426
329.jpg,640,480,License Plate,224,260,488,310
141.jpg,640,480,License Plate,262,353,380,378
216.jpg,640,480,License Plate,207,271,445,325
391.jpg,1024,768,License Plate,361,371,635,453
581.jpg,4160,2340,License Plate,1585,1052,2627,1624
111.jpg,640,480,License Plate,208,293,443,338
299.jpg,640,480,License Plate,216,278,489,342
629.jpeg,275,183,License Plate,130,130,209,160
393.jpg,640,480,License Plate,220,223,416,268
173.jpg,640,480,License Plate,199,291,434,343
264.jpg,640,480,License Plate,193,257,442,315
518.jpg,4160,2340,License Plate,1542,805,2275,1195
16.jpg,640,480,License Plate,182,287,396,333
23.jpg,640,480,License Plate,199,308,422,355
116.jpg,640,480,License Plate,219,276,441,322
381.jpg,1600,1200,License Plate,483,601,983,729
575.jpg,4160,2340,License Plate,1442,990,2351,1510
484.jpg,640,480,License Plate,203,263,454,309
297.jpg,640,480,License Plate,188,269,449,313
39.jpg,640,480,License Plate,202,258,431,308
300.jpg,640,480,License Plate,230,278,481,333
372.jpg,1024,768,License Plate,356,384,630,442
453.jpg,640,480,License Plate,169,258,317,313
502.jpg,640,480,License Plate,234,354,425,410
296.jpg,640,480,License Plate,241,298,491,348
69.jpg,640,480,License Plate,157,328,394,374
8.jpg,640,480,License Plate,217,340,433,389
591.jpg,4160,2340,License Plate,932,995,2323,1443
94.jpg,640,480,License Plate,279,250,492,297
51.jpg,640,480,License Plate,197,288,417,339
396.jpg,640,480,License Plate,232,250,408,288
175.jpg,640,480,License Plate,211,281,430,329
414.jpg,640,480,License Plate,230,269,411,330
128.jpg,640,480,License Plate,254,337,372,363
33.jpg,640,480,License Plate,229,321,427,362
2.jpg,640,480,License Plate,242,243,422,277
349.jpg,640,480,License Plate,189,281,449,330
272.jpg,640,480,License Plate,199,263,442,318
163.jpg,640,480,License Plate,229,299,429,340
532.jpg,4160,2340,License Plate,1399,819,2104,1214
138.jpg,640,480,License Plate,268,384,392,408
363.jpg,1024,768,License Plate,358,588,666,642
81.jpg,640,480,License Plate,212,288,426,334
541.jpg,4160,2340,License Plate,1680,105,2718,738
152.jpg,640,480,License Plate,224,292,449,335
447.jpg,640,480,License Plate,194,264,358,323
477.jpg,640,480,License Plate,202,205,439,260
416.jpg,640,480,License Plate,223,339,427,372
606.jpg,4160,2340,License Plate,1080,881,2589,1233
82.jpg,640,480,License Plate,201,310,412,350
218.jpg,640,480,License Plate,200,253,456,306
504.jpg,640,480,License Plate,301,183,482,273
171.jpg,640,480,License Plate,191,287,435,338
189.jpg,640,480,License Plate,209,308,427,348
162.jpg,640,480,License Plate,205,282,412,328
599.jpg,600,400,License Plate,317,238,421,322
491.jpg,640,480,License Plate,301,202,492,283
52.jpg,640,480,License Plate,197,256,403,309
384.jpg,640,480,License Plate,211,249,406,291
586.jpg,380,262,License Plate,151,180,223,196
156.jpg,640,480,License Plate,216,383,425,422
444.jpg,640,480,License Plate,156,321,438,368
247.jpg,640,480,License Plate,221,286,448,328
619.jpeg,220,225,License Plate,82,115,138,158
198.jpg,640,480,License Plate,197,276,449,325
335.jpg,640,480,License Plate,199,300,446,343
564.jpg,4160,2340,License Plate,1580,900,2313,1314
113.jpg,640,480,License Plate,242,320,513,384
291.jpg,640,480,License Plate,206,368,442,407
585.jpg,400,300,License Plate,174,202,273,242
497.jpg,640,480,License Plate,245,245,409,286
520.jpg,4160,2340,License Plate,1475,1110,2366,1600
185.jpg,640,480,License Plate,224,312,452,360
519.jpg,4160,2340,License Plate,2089,1233,2704,1576
598.jpg,400,300,License Plate,216,203,258,219
205.jpg,640,480,License Plate,224,398,427,432
230.jpg,640,480,License Plate,200,288,438,333
70.jpg,640,480,License Plate,129,300,299,341
99.jpg,640,480,License Plate,205,335,439,388
358.jpg,1024,768,License Plate,355,351,657,411
487.jpg,640,480,License Plate,297,198,429,296
545.jpg,4160,2340,License Plate,1689,681,2737,1300
316.jpg,640,480,License Plate,212,272,425,319
530.jpg,4160,2340,License Plate,1589,814,2185,1371
590.jpg,4160,2340,License Plate,918,938,2342,1181
194.jpg,640,480,License Plate,210,300,447,346
379.jpg,1600,1200,License Plate,573,665,1064,763
559.jpg,4160,2340,License Plate,1756,710,2542,1262
258.jpg,640,480,License Plate,201,268,450,325
117.jpg,640,480,License Plate,200,354,462,415
209.jpg,640,480,License Plate,205,298,444,340
214.jpg,640,480,License Plate,201,326,444,383
474.jpg,640,480,License Plate,208,265,425,310
43.jpg,640,480,License Plate,217,368,419,408
503.jpg,640,480,License Plate,289,314,450,388
627.jpeg,482,305,License Plate,346,266,429,294
627.jpeg,482,305,License Plate,135,204,176,216
108.jpg,640,480,License Plate,219,264,437,314
344.jpg,640,480,License Plate,269,248,412,355
535.jpg,4160,2340,License Plate,1647,1152,2366,1486
309.jpg,640,480,License Plate,207,261,453,303
282.jpg,640,480,License Plate,205,267,444,320
142.jpg,640,480,License Plate,259,307,383,338
406.jpg,640,480,License Plate,257,277,447,340
215.jpg,640,480,License Plate,212,255,449,305
149.jpg,640,480,License Plate,197,285,427,330
478.jpg,640,480,License Plate,261,230,432,291
168.jpg,640,480,License Plate,217,345,431,389
402.jpg,640,480,License Plate,205,402,409,439
425.jpg,640,480,License Plate,225,296,399,350
452.jpg,640,480,License Plate,184,244,385,322
201.jpg,640,480,License Plate,205,270,432,319
252.jpg,640,480,License Plate,206,253,452,308
365.jpg,1024,768,License Plate,210,568,441,620
129.jpg,640,480,License Plate,266,365,388,396
182.jpg,640,480,License Plate,214,301,439,348
446.jpg,640,480,License Plate,217,220,342,291
623.jpeg,512,287,License Plate,134,143,267,178
310.jpg,640,480,License Plate,213,255,447,305
314.jpg,640,480,License Plate,192,372,438,420
522.jpg,4160,2340,License Plate,1565,563,2014,859
419.jpg,640,480,License Plate,227,294,403,330
107.jpg,640,480,License Plate,207,257,439,300
531.jpg,4160,2340,License Plate,1447,881,2623,1490
615.jpeg,400,300,License Plate,283,245,376,277
443.jpg,640,480,License Plate,208,300,422,335
601.jpg,4160,2340,License Plate,1785,881,2380,1362
50.jpg,640,480,License Plate,194,285,424,332
122.jpg,640,480,License Plate,194,299,460,355
110.jpg,640,480,License Plate,263,279,451,320
166.jpg,640,480,License Plate,204,310,444,355
253.jpg,640,480,License Plate,209,392,441,439
570.jpg,4160,2340,License Plate,1613,714,2466,1162
212.jpg,640,480,License Plate,188,277,422,320
298.jpg,640,480,License Plate,200,250,462,298
550.jpg,4160,2340,License Plate,1499,1181,2299,1681
14.jpg,640,480,License Plate,202,375,388,408
295.jpg,640,480,License Plate,214,275,447,329
539.jpg,4160,2340,License Plate,1585,1057,2418,1581
320.jpg,640,480,License Plate,197,257,459,310
345.jpg,640,480,License Plate,202,258,456,315
348.jpg,640,480,License Plate,224,273,452,327
632.jpeg,506,291,License Plate,306,248,413,276
342.jpg,640,480,License Plate,217,252,447,303
500.jpg,640,480,License Plate,219,260,396,297
226.jpg,640,480,License Plate,207,264,445,308
294.jpg,640,480,License Plate,209,385,434,431
38.jpg,640,480,License Plate,199,260,437,313
208.jpg,640,480,License Plate,261,289,382,365
240.jpg,640,480,License Plate,201,273,432,309
274.jpg,640,480,License Plate,109,318,300,357
439.jpg,640,480,License Plate,242,355,395,393
471.jpg,640,480,License Plate,167,203,392,318
161.jpg,640,480,License Plate,222,305,416,343
192.jpg,640,480,License Plate,230,284,440,330
617.jpeg,299,168,License Plate,59,81,121,101
96.jpg,640,480,License Plate,174,274,427,327
281.jpg,640,480,License Plate,262,286,398,377
184.jpg,640,480,License Plate,220,328,446,371
588.jpg,4160,2340,License Plate,1461,1014,2294,1233
475.jpg,640,480,License Plate,214,219,433,265
302.jpg,640,480,License Plate,205,356,454,401
84.jpg,640,480,License Plate,217,339,416,377
44.jpg,640,480,License Plate,258,275,374,355
6.jpg,640,480,License Plate,201,258,415,306
241.jpg,640,480,License Plate,214,272,433,317
626.jpeg,508,290,License Plate,207,166,304,196
18.jpg,640,480,License Plate,190,333,408,380
98.jpg,640,480,License Plate,146,294,405,349
318.jpg,640,480,License Plate,212,277,445,323
257.jpg,640,480,License Plate,198,283,452,334
150.jpg,640,480,License Plate,206,273,432,320
322.jpg,640,480,License Plate,194,410,435,453
227.jpg,640,480,License Plate,217,415,432,450
544.jpg,4160,2340,License Plate,1485,710,2251,1119
35.jpg,640,480,License Plate,204,383,416,425
529.jpg,4160,2340,License Plate,1632,648,2380,1086
431.jpg,640,480,License Plate,207,306,405,343
488.jpg,640,480,License Plate,235,355,430,388
42.jpg,640,480,License Plate,218,405,426,444
512.jpg,4160,2340,License Plate,1432,929,2285,1205
19.jpg,640,480,License Plate,230,277,347,363
160.jpg,640,480,License Plate,211,268,439,315
547.jpg,4160,2340,License Plate,1789,910,2504,1362
326.jpg,640,480,License Plate,209,275,463,320
292.jpg,640,480,License Plate,207,358,451,407
433.jpg,640,480,License Plate,217,381,413,425
442.jpg,640,480,License Plate,198,288,389,323
25.jpg,640,480,License Plate,227,262,422,303
467.jpg,640,480,License Plate,291,242,457,313
195.jpg,640,480,License Plate,202,286,417,329
473.jpg,640,480,License Plate,310,240,486,325
331.jpg,640,480,License Plate,215,232,455,284
72.jpg,640,480,License Plate,214,258,422,308
183.jpg,640,480,License Plate,209,393,426,430
346.jpg,640,480,License Plate,204,305,443,358
528.jpg,4160,2340,License Plate,1570,1162,2375,1633
382.jpg,1600,1200,License Plate,405,611,896,763
143.jpg,640,480,License Plate,279,402,397,431
334.jpg,640,480,License Plate,190,243,459,298
620.jpeg,275,183,License Plate,100,107,152,136
428.jpg,640,480,License Plate,249,243,419,305
418.jpg,640,480,License Plate,220,273,427,314
370.jpg,1024,768,License Plate,373,474,668,538
482.jpg,640,480,License Plate,302,211,482,285
206.jpg,640,480,License Plate,217,352,430,393
177.jpg,640,480,License Plate,239,308,447,351
145.jpg,640,480,License Plate,263,288,396,318
249.jpg,640,480,License Plate,206,252,438,302
146.jpg,640,480,License Plate,197,288,422,328
118.jpg,640,480,License Plate,213,237,477,286
15.jpg,640,480,License Plate,190,277,393,322
479.jpg,640,480,License Plate,214,254,404,295
413.jpg,640,480,License Plate,216,260,416,309
595.jpg,4160,2340,License Plate,1199,1048,2332,1281
536.jpg,4160,2340,License Plate,1451,810,2851,1552
105.jpg,640,480,License Plate,224,308,443,350
383.jpg,640,480,License Plate,217,294,425,337
397.jpg,640,480,License Plate,216,342,410,381
109.jpg,640,480,License Plate,219,269,445,323
525.jpg,4160,2340,License Plate,1780,1043,2242,1314
17.jpg,640,480,License Plate,189,271,390,313
548.jpg,4160,2340,License Plate,1718,1314,2851,1933
71.jpg,640,480,License Plate,244,358,342,425
587.jpg,4160,2340,License Plate,1227,1014,2413,1276
403.jpg,640,480,License Plate,260,250,387,338
289.jpg,640,480,License Plate,197,269,437,318
549.jpg,4160,2340,License Plate,1680,976,2242,1290
13.jpg,640,480,License Plate,194,318,425,364
526.jpg,4160,2340,License Plate,1270,962,2475,1619
401.jpg,640,480,License Plate,238,264,413,317
330.jpg,640,480,License Plate,171,256,408,304
